U+0021	!
U+6249	扉
U+624b	手
U+624c	扌
U+624d	才
U+624e	扎
U+6253	打
U+6255	払
U+6258	托
U+625b	扛
U+625e	扞
U+6260	扠
U+6263	扣
U+6268	扨
U+626e	扮
U+6271	扱
U+6276	扶
批-Kaisho	U+6279	批
U+6279	批
U+627c	扼
U+627e	找
U+627f	承
U+6280	技
U+6282	抂
抂-VtLst	U+6282	抂
抃-Kaisho	U+6283	抃
U+6283	抃
U+6284	抄
U+6289	抉
U+628a	把
U+6291	抑
U+6292	抒
U+6293	抓
U+6294	抔
U+6295	投
U+6296	抖
抗-Kaisho	U+6297	抗
U+6297	抗
U+6298	折
U+629b	抛
U+629c	抜
U+629e	択
U+62ab	披
U+62ac	抬
U+62b1	抱
U+62b5	抵
抹-Kaisho	U+62b9	抹
U+62b9	抹
抻-Kaisho	U+62bb	抻
U+62bb	抻
押-Kaisho	U+62bc	押
U+62bc	押
抽-Kaisho	U+62bd	抽
抽-KaishoVtLst	U+62bd	抽
U+62bd	抽
U+62c2	拂
担-Kaisho	U+62c5	担
U+62c5	担
U+62c6	拆
U+62c7	拇
拈-HzFst	U+62c8	拈
U+62c8	拈
拉-Kaisho	U+62c9	拉
U+62c9	拉
U+62ca	拊
U+62cc	拌
拍-Kaisho	U+62cd	拍
U+62cd	拍
U+62cf	拏
U+62d0	拐
拑-Kaisho	U+62d1	拑
U+62d1	拑
拒-HzFst	U+62d2	拒
U+62d2	拒
U+62d3	拓
U+62d4	拔
U+62d7	拗
U+62d8	拘
U+62d9	拙
U+62db	招
U+62dc	拜
U+62dd	拝
U+62e0	拠
拡-Kaisho	U+62e1	拡
U+62e1	拡
U+62ec	括
U+62ed	拭
U+62ee	拮
U+62ef	拯
U+62f1	拱
U+62f3	拳
U+62f5	拵
U+62f6	拶
拷-Kaisho	U+62f7	拷
U+62f7	拷
U+62fe	拾
U+62ff	拿
U+6301	持
U+6302	挂
指-Kaisho	U+6307	指
U+6307	指
U+6308	挈
按-Kaisho	U+6309	按
U+6309	按
U+630c	挌
挑-MidFst	U+6311	挑
U+6311	挑
U+6319	挙
U+631f	挟
U+6327	挧
U+6328	挨
U+632b	挫
挫-VtLst	U+632b	挫
U+632f	振
挺-Hyougai	U+633a	挺
挺-Jinmei	U+633a	挺
U+633a	挺
挽-Hyougai	U+633d	挽
挽-Jinmei	U+633d	挽
U+633d	挽
U+633e	挾
挿-Kaisho	U+633f	挿
U+633f	挿
U+6349	捉
U+634c	捌
捍-Kaisho	U+634d	捍
U+634d	捍
捏-Kaisho	U+634f	捏
U+634f	捏
捐-Kaisho	U+6350	捐
U+6350	捐
捕-Kaisho	U+6355	捕
U+6355	捕
捗-HyougaiHzFst	U+6357	捗
捗-Hyougai	U+6357	捗
U+6357	捗
捜-Kaisho	U+635c	捜
U+635c	捜
U+6367	捧
U+6368	捨
U+6369	捩
捫-Kaisho	U+636b	捫
U+636b	捫
U+636e	据
捲-Hyougai	U+6372	捲
U+6372	捲
U+6376	捶
捶-VtLst	U+6376	捶
U+6377	捷
U+637a	捺
U+637b	捻
U+6380	掀
掃-Kaisho	U+6383	掃
U+6383	掃
U+6388	授
掉-KaishoHzFst	U+6389	掉
掉-Kaisho	U+6389	掉
U+6389	掉
U+638c	掌
U+638e	掎
U+638f	掏
排-MdFst	U+6392	排
U+6392	排
掖-Kaisho	U+6396	掖
U+6396	掖
U+6398	掘
U+639b	掛
掟-Kaisho	U+639f	掟
U+639f	掟
掠-Kaisho	U+63a0	掠
U+63a0	掠
採-Kaisho	U+63a1	採
U+63a1	採
探-Kaisho	U+63a2	探
U+63a2	探
U+63a3	掣
接-Kaisho	U+63a5	接
U+63a5	接
控-Kaisho	U+63a7	控
U+63a7	控
U+63a8	推
掩-Kaisho	U+63a9	掩
U+63a9	掩
措-Kaisho	U+63aa	措
U+63aa	措
掫-Kaisho	U+63ab	掫
掫-KaishoVt3	U+63ab	掫
U+63ab	掫
掬-Kaisho	U+63ac	掬
U+63ac	掬
掲-Kaisho	U+63b2	掲
U+63b2	掲
U+63b4	掴
掴-VtLst	U+63b4	掴
U+63b5	掵
U+63bb	掻
U+63be	掾
揀-Kaisho	U+63c0	揀
U+63c0	揀
揃-HyougaiKaisho	U+63c3	揃
揃-Hyougai	U+63c3	揃
U+63c3	揃
U+63c4	揄
揆-Dg3	U+63c6	揆
揆-DgLst	U+63c6	揆
U+63c6	揆
揉-Kaisho	U+63c9	揉
U+63c9	揉
描-Kaisho	U+63cf	描
U+63cf	描
提-Kaisho	U+63d0	提
U+63d0	提
插-MdFst	U+63d2	插
U+63d2	插
揖-Kaisho	U+63d6	揖
揖-KaishoVt3	U+63d6	揖
U+63d6	揖
揚-Kaisho	U+63da	揚
U+63da	揚
U+63db	換
U+63e1	握
握-VtFst	U+63e1	握
U+63e3	揣
揩-Kaisho	U+63e9	揩
U+63e9	揩
揮-Kaisho	U+63ee	揮
U+63ee	揮
U+63f4	援
揶-Kaisho	U+63f6	揶
揶-KaishoVt3	U+63f6	揶
U+63f6	揶
U+63fa	揺
搆-Kaisho	U+6406	搆
U+6406	搆
U+640d	損
搏-Kaisho	U+640f	搏
U+640f	搏
U+6413	搓
搓-VtLst	U+6413	搓
U+6416	搖
搗-Kaisho	U+6417	搗
U+6417	搗
搜-MdFst	U+641c	搜
U+641c	搜
U+6426	搦
搨-Kaisho	U+6428	搨
U+6428	搨
U+642c	搬
U+642d	搭
搴-Kaisho	U+6434	搴
搴-KaishoVtLst	U+6434	搴
U+6434	搴
U+6436	搶
U+643a	携
搾-Kaisho	U+643e	搾
U+643e	搾
摂-Kaisho	U+6442	摂
摂-KaishoVt3	U+6442	摂
U+6442	摂
U+644e	摎
U+6451	摑
摘-Kaisho	U+6458	摘
U+6458	摘
U+6467	摧
摩-Kaisho	U+6469	摩
U+6469	摩
U+646f	摯
U+6476	摶
摸-Kaisho	U+6478	摸
U+6478	摸
摺-HyougaiKaisho	U+647a	摺
摺-Hyougai	U+647a	摺
摺-Kaisho	U+647a	摺
U+647a	摺
撃-Kaisho	U+6483	撃
U+6483	撃
U+6488	撈
撒-Kaisho	U+6492	撒
U+6492	撒
U+6493	撓
撕-Kaisho	U+6495	撕
U+6495	撕
U+649a	撚
撞-Kaisho	U+649e	撞
撞-KaishoVtLst	U+649e	撞
U+649e	撞
撤-Kaisho	U+64a4	撤
U+64a4	撤
撥-Dg3	U+64a5	撥
撥-DgLst	U+64a5	撥
U+64a5	撥
撩-Kaisho	U+64a9	撩
U+64a9	撩
撫-HzLst	U+64ab	撫
U+64ab	撫
播-Kaisho	U+64ad	播
U+64ad	播
撮-Kaisho	U+64ae	撮
撮-KaishoVt3	U+64ae	撮
U+64ae	撮
撰-Hyougai	U+64b0	撰
U+64b0	撰
U+64b2	撲
撹-Kaisho	U+64b9	撹
U+64b9	撹
U+64bb	撻
U+64bc	撼
擁-Kaisho	U+64c1	擁
U+64c1	擁
擂-Kaisho	U+64c2	擂
U+64c2	擂
擅-Kaisho	U+64c5	擅
U+64c5	擅
U+64c7	擇
操-Kaisho	U+64cd	操
U+64cd	操
U+64d2	擒
U+64d4	擔
擘-Kaisho	U+64d8	擘
U+64d8	擘
據-HzFstLeRi	U+64da	據
據-HzFstRiLe	U+64da	據
U+64da	據
據-VtFstRiLe	U+64da	據
擠-Kaisho	U+64e0	擠
U+64e0	擠
U+64e1	擡
擡-VtFst	U+64e1	擡
擢-Hyougai	U+64e2	擢
U+64e2	擢
U+64e3	擣
擦-Kaisho	U+64e6	擦
U+64e6	擦
擧-LeFst	U+64e7	擧
U+64e7	擧
擬-Kaisho	U+64ec	擬
U+64ec	擬
擯-Kaisho	U+64ef	擯
U+64ef	擯
擱-Kaisho	U+64f1	擱
U+64f1	擱
擲-Kaisho	U+64f2	擲
U+64f2	擲
擴-Kaisho	U+64f4	擴
擴-KaishoVtLst	U+64f4	擴
U+64f4	擴
擶-Kaisho	U+64f6	擶
U+64f6	擶
擺-Kaisho	U+64fa	擺
U+64fa	擺
擽-Kaisho	U+64fd	擽
U+64fd	擽
擾-Kaisho	U+64fe	擾
U+64fe	擾
攀-KaishoLeFst	U+6500	攀
攀-LeFst	U+6500	攀
U+6500	攀
攅-Kaisho	U+6505	攅
U+6505	攅
攘-Kaisho	U+6518	攘
U+6518	攘
U+651c	攜
攝-Kaisho	U+651d	攝
攝-KaishoVt3	U+651d	攝
U+651d	攝
U+6523	攣
U+6524	攤
攪-Kaisho	U+652a	攪
U+652a	攪
攫-Kaisho	U+652b	攫
U+652b	攫
攬-KaishoHzFst	U+652c	攬
攬-Kaisho	U+652c	攬
U+652c	攬
U+652f	支
U+6534	攴
U+6535	攵
U+6536	收
U+6537	攷
U+6538	攸
改-Kaisho	U+6539	改
U+6539	改
U+653b	攻
放-Kaisho	U+653e	放
U+653e	放
政-HzFst	U+653f	政
U+653f	政
U+6545	故
效-Kaisho	U+6548	效
U+6548	效
U+654d	敍
U+654f	敏
U+6551	救
敕-Kaisho	U+6555	敕
U+6555	敕
敖-Kaisho	U+6556	敖
U+6556	敖
敗-Kaisho	U+6557	敗
U+6557	敗
U+6558	敘
U+6559	教
U+655d	敝
U+655e	敞
敢-Kaisho	U+6562	敢
敢-KaishoVt3	U+6562	敢
U+6562	敢
散-Kaisho	U+6563	散
U+6563	散
敦-Kaisho	U+6566	敦
U+6566	敦
U+656c	敬
U+6570	数
敲-Kaisho	U+6572	敲
U+6572	敲
整-HzFst	U+6574	整
U+6574	整
敵-Kaisho	U+6575	敵
U+6575	敵
敷-Kaisho	U+6577	敷
敷-KaishoVt3	U+6577	敷
敷-KaishoVtLst	U+6577	敷
U+6577	敷
U+6578	數
U+6582	斂
U+6583	斃
文-Kaisho	U+6587	文
U+6587	文
斈-Kaisho	U+6588	斈
U+6588	斈
斉-Kaisho	U+6589	斉
斉-KaishoVt12	U+6589	斉
U+6589	斉
斌-KaishoHzFst	U+658c	斌
斌-Kaisho	U+658c	斌
U+658c	斌
斎-KaishoMdFst	U+658e	斎
斎-Kaisho	U+658e	斎
斎-KaishoVt6	U+658e	斎
U+658e	斎
斐-KaishoMdFst	U+6590	斐
斐-Kaisho	U+6590	斐
U+6590	斐
斑-Kaisho	U+6591	斑
斑-KaishoVtLst	U+6591	斑
U+6591	斑
U+6597	斗
料-Kaisho	U+6599	料
U+6599	料
斛-Kaisho	U+659b	斛
U+659b	斛
U+659c	斜
斟-Kaisho	U+659f	斟
U+659f	斟
斡-Kaisho	U+65a1	斡
U+65a1	斡
U+65a4	斤
U+65a5	斥
斧-Hyougai	U+65a7	斧
斧-Jinmei	U+65a7	斧
U+65a7	斧
U+65ab	斫
斬-Kaisho	U+65ac	斬
U+65ac	斬
U+65ad	断
斯-Kaisho	U+65af	斯
U+65af	斯
新-Kaisho	U+65b0	新
U+65b0	新
U+65b7	斷
方-Kaisho	U+65b9	方
U+65b9	方
於-Kaisho	U+65bc	於
U+65bc	於
施-Kaisho	U+65bd	施
U+65bd	施
U+65bf	斿
旁-Kaisho	U+65c1	旁
U+65c1	旁
旃-Kaisho	U+65c3	旃
U+65c3	旃
旄-Kaisho	U+65c4	旄
U+65c4	旄
旅-Kaisho	U+65c5	旅
U+65c5	旅
U+65c6	旆
旋-Kaisho	U+65cb	旋
U+65cb	旋
旌-Kaisho	U+65cc	旌
旌-KaishoVtLst	U+65cc	旌
U+65cc	旌
族-Kaisho	U+65cf	族
U+65cf	族
旒-Kaisho	U+65d2	旒
U+65d2	旒
旗-Kaisho	U+65d7	旗
U+65d7	旗
旙-Kaisho	U+65d9	旙
U+65d9	旙
旛-Kaisho	U+65db	旛
U+65db	旛
U+65e0	无
U+65e1	旡
既-Kaisho	U+65e2	既
U+65e2	既
日-Kaisho	U+65e5	日
U+65e5	日
旦-Kaisho	U+65e6	旦
U+65e6	旦
旧-Kaisho	U+65e7	旧
U+65e7	旧
旨-Kaisho	U+65e8	旨
U+65e8	旨
早-Kaisho	U+65e9	早
U+65e9	早
旬-Kaisho	U+65ec	旬
U+65ec	旬
旭-Kaisho	U+65ed	旭
U+65ed	旭
旱-Kaisho	U+65f1	旱
U+65f1	旱
旺-Kaisho	U+65fa	旺
旺-KaishoVtLst	U+65fa	旺
U+65fa	旺
旻-Kaisho	U+65fb	旻
U+65fb	旻
昂-Kaisho	U+6602	昂
U+6602	昂
昃-Kaisho	U+6603	昃
U+6603	昃
昆-Kaisho	U+6606	昆
U+6606	昆
昇-Kaisho	U+6607	昇
U+6607	昇
昊-Kaisho	U+660a	昊
U+660a	昊
昌-Kaisho	U+660c	昌
U+660c	昌
明-Kaisho	U+660e	明
U+660e	明
昏-Kaisho	U+660f	昏
U+660f	昏
易-Kaisho	U+6613	易
U+6613	易
昔-Kaisho	U+6614	昔
U+6614	昔
昜-Kaisho	U+661c	昜
U+661c	昜
星-Kaisho	U+661f	星
星-KaishoVtLst	U+661f	星
U+661f	星
映-Kaisho	U+6620	映
U+6620	映
春-Kaisho	U+6625	春
U+6625	春
昧-Kaisho	U+6627	昧
U+6627	昧
昨-Kaisho	U+6628	昨
U+6628	昨
昭-Kaisho	U+662d	昭
U+662d	昭
是-Kaisho	U+662f	是
U+662f	是
昴-Kaisho	U+6634	昴
U+6634	昴
昵-Kaisho	U+6635	昵
U+6635	昵
昶-Kaisho	U+6636	昶
U+6636	昶
昼-Kaisho	U+663c	昼
U+663c	昼
昿-Kaisho	U+663f	昿
U+663f	昿
晁-KaishoMidFst	U+6641	晁
晁-Kaisho	U+6641	晁
U+6641	晁
時-Kaisho	U+6642	時
U+6642	時
晃-Kaisho	U+6643	晃
U+6643	晃
晄-Kaisho	U+6644	晄
U+6644	晄
晉-Kaisho	U+6649	晉
U+6649	晉
晋-Kaisho	U+664b	晋
U+664b	晋
晏-Kaisho	U+664f	晏
U+664f	晏
晒-Kaisho	U+6652	晒
U+6652	晒
晝-Kaisho	U+665d	晝
U+665d	晝
晞-Kaisho	U+665e	晞
U+665e	晞
晟-Kaisho	U+665f	晟
U+665f	晟
晢-Kaisho	U+6662	晢
U+6662	晢
晤-Kaisho	U+6664	晤
U+6664	晤
晦-HyougaiKaisho	U+6666	晦
晦-Hyougai	U+6666	晦
U+6666	晦
晧-Kaisho	U+6667	晧
U+6667	晧
晨-Kaisho	U+6668	晨
U+6668	晨
晩-Kaisho	U+6669	晩
U+6669	晩
普-Kaisho	U+666e	普
U+666e	普
景-Kaisho	U+666f	景
U+666f	景
晰-Kaisho	U+6670	晰
U+6670	晰
晴-Kaisho	U+6674	晴
晴-KaishoVtLst	U+6674	晴
U+6674	晴
晶-Kaisho	U+6676	晶
U+6676	晶
智-Kaisho	U+667a	智
U+667a	智
暁-Kaisho	U+6681	暁
U+6681	暁
暃-KaishoMdFst	U+6683	暃
暃-Kaisho	U+6683	暃
U+6683	暃
暄-Kaisho	U+6684	暄
U+6684	暄
暇-Kaisho	U+6687	暇
暇-KaishoVtFst	U+6687	暇
U+6687	暇
暈-Kaisho	U+6688	暈
U+6688	暈
暉-Kaisho	U+6689	暉
U+6689	暉
暎-Kaisho	U+668e	暎
U+668e	暎
暑-Kaisho	U+6691	暑
U+6691	暑
暖-Kaisho	U+6696	暖
U+6696	暖
暗-Kaisho	U+6697	暗
U+6697	暗
暘-Kaisho	U+6698	暘
U+6698	暘
暝-Kaisho	U+669d	暝
U+669d	暝
暢-Kaisho	U+66a2	暢
U+66a2	暢
暦-Kaisho	U+66a6	暦
U+66a6	暦
暫-Kaisho	U+66ab	暫
U+66ab	暫
暮-Kaisho	U+66ae	暮
U+66ae	暮
暴-Kaisho	U+66b4	暴
U+66b4	暴
暸-Kaisho	U+66b8	暸
U+66b8	暸
暹-Kaisho	U+66b9	暹
U+66b9	暹
暼-Kaisho	U+66bc	暼
U+66bc	暼
暾-Kaisho	U+66be	暾
U+66be	暾
曁-Kaisho	U+66c1	曁
U+66c1	曁
曄-Kaisho	U+66c4	曄
U+66c4	曄
曇-Kaisho	U+66c7	曇
U+66c7	曇
曉-Kaisho	U+66c9	曉
U+66c9	曉
曖-Kaisho	U+66d6	曖
U+66d6	曖
曙-Kaisho	U+66d9	曙
U+66d9	曙
曚-Kaisho	U+66da	曚
U+66da	曚
曜-Kaisho	U+66dc	曜
U+66dc	曜
曝-Kaisho	U+66dd	曝
U+66dd	曝
曠-Kaisho	U+66e0	曠
曠-KaishoVtLst	U+66e0	曠
U+66e0	曠
曦-Kaisho	U+66e6	曦
U+66e6	曦
曩-Kaisho	U+66e9	曩
U+66e9	曩
U+66f0	曰
曲-Kaisho	U+66f2	曲
曲-KaishoVtLst	U+66f2	曲
U+66f2	曲
曳-Kaisho	U+66f3	曳
U+66f3	曳
更-Kaisho	U+66f4	更
U+66f4	更
U+66f5	曵
曷-Kaisho	U+66f7	曷
U+66f7	曷
書-Kaisho	U+66f8	書
U+66f8	書
曹-Kaisho	U+66f9	曹
曹-KaishoVtLst	U+66f9	曹
U+66f9	曹
曼-Kaisho	U+66fc	曼
U+66fc	曼
曽-Kaisho	U+66fd	曽
U+66fd	曽
曾-Kaisho	U+66fe	曾
U+66fe	曾
替-Kaisho	U+66ff	替
U+66ff	替
最-Kaisho	U+6700	最
最-KaishoVt3	U+6700	最
U+6700	最
會-Kaisho	U+6703	會
U+6703	會
月-Kaisho	U+6708	月
U+6708	月
有-Kaisho	U+6709	有
U+6709	有
朋-Kaisho	U+670b	朋
U+670b	朋
服-Kaisho	U+670d	服
服-KaishoVtFst	U+670d	服
U+670d	服
朏-Kaisho	U+670f	朏
U+670f	朏
朔-Kaisho	U+6714	朔
U+6714	朔
朕-Kaisho	U+6715	朕
U+6715	朕
朖-Kaisho	U+6716	朖
U+6716	朖
朗-Kaisho	U+6717	朗
U+6717	朗
望-Kaisho	U+671b	望
望-KaishoVtLst	U+671b	望
U+671b	望
朝-Kaisho	U+671d	朝
U+671d	朝
朞-Kaisho	U+671e	朞
U+671e	朞
期-Kaisho	U+671f	期
U+671f	期
朦-Kaisho	U+6726	朦
U+6726	朦
朧-Kaisho	U+6727	朧
U+6727	朧
木-Kaisho	U+6728	木
U+6728	木
未-Kaisho	U+672a	未
U+672a	未
末-Kaisho	U+672b	末
U+672b	末
U+672c	本
札-Kaisho	U+672d	札
U+672d	札
朮-Kaisho	U+672e	朮
U+672e	朮
朱-Kaisho	U+6731	朱
U+6731	朱
朴-Kaisho	U+6734	朴
U+6734	朴
朶-Kaisho	U+6736	朶
U+6736	朶
朷-Kaisho	U+6737	朷
U+6737	朷
朸-Kaisho	U+6738	朸
U+6738	朸
机-Kaisho	U+673a	机
U+673a	机
朽-Kaisho	U+673d	朽
U+673d	朽
朿-Kaisho	U+673f	朿
U+673f	朿
杁-Kaisho	U+6741	杁
U+6741	杁
杆-Kaisho	U+6746	杆
U+6746	杆
杉-Kaisho	U+6749	杉
U+6749	杉
U+674e	李
U+674f	杏
材-Kaisho	U+6750	材
U+6750	材
村-Kaisho	U+6751	村
U+6751	村
杓-HyougaiKaisho	U+6753	杓
杓-Hyougai	U+6753	杓
U+6753	杓
杖-HyougaiKaisho	U+6756	杖
杖-Hyougai	U+6756	杖
杖-Jinmei	U+6756	杖
U+6756	杖
杙-Kaisho	U+6759	杙
U+6759	杙
杜-Kaisho	U+675c	杜
U+675c	杜
杞-Kaisho	U+675e	杞
U+675e	杞
束-Kaisho	U+675f	束
U+675f	束
杠-Kaisho	U+6760	杠
U+6760	杠
条-Kaisho	U+6761	条
U+6761	条
U+6762	杢
杣-Kaisho	U+6763	杣
U+6763	杣
杤-Kaisho	U+6764	杤
U+6764	杤
来-Kaisho	U+6765	来
U+6765	来
杪-Kaisho	U+676a	杪
U+676a	杪
杭-Kaisho	U+676d	杭
U+676d	杭
杯-Kaisho	U+676f	杯
U+676f	杯
杰-Kaisho	U+6770	杰
U+6770	杰
東-Kaisho	U+6771	東
U+6771	東
杲-Kaisho	U+6772	杲
U+6772	杲
杳-Kaisho	U+6773	杳
U+6773	杳
杵-Kaisho	U+6775	杵
U+6775	杵
杷-Kaisho	U+6777	杷
U+6777	杷
杼-Kaisho	U+677c	杼
U+677c	杼
松-Kaisho	U+677e	松
U+677e	松
板-Kaisho	U+677f	板
U+677f	板
枅-Kaisho	U+6785	枅
U+6785	枅
枇-Kaisho	U+6787	枇
U+6787	枇
枉-Kaisho	U+6789	枉
枉-KaishoVtLst	U+6789	枉
U+6789	枉
枋-Kaisho	U+678b	枋
U+678b	枋
枌-Kaisho	U+678c	枌
U+678c	枌
析-Kaisho	U+6790	析
U+6790	析
枕-Kaisho	U+6795	枕
U+6795	枕
林-Kaisho	U+6797	林
U+6797	林
枚-Kaisho	U+679a	枚
U+679a	枚
果-Kaisho	U+679c	果
U+679c	果
枝-Kaisho	U+679d	枝
U+679d	枝
枠-Kaisho	U+67a0	枠
U+67a0	枠
枡-Kaisho	U+67a1	枡
U+67a1	枡
枢-Kaisho	U+67a2	枢
U+67a2	枢
枦-Kaisho	U+67a6	枦
U+67a6	枦
枩-Kaisho	U+67a9	枩
U+67a9	枩
枯-Kaisho	U+67af	枯
U+67af	枯
枳-Kaisho	U+67b3	枳
U+67b3	枳
枴-Kaisho	U+67b4	枴
U+67b4	枴
架-Kaisho	U+67b6	架
U+67b6	架
枷-Kaisho	U+67b7	枷
U+67b7	枷
枸-Kaisho	U+67b8	枸
U+67b8	枸
枹-Kaisho	U+67b9	枹
U+67b9	枹
柁-Kaisho	U+67c1	柁
U+67c1	柁
柄-Kaisho	U+67c4	柄
U+67c4	柄
柆-Kaisho	U+67c6	柆
U+67c6	柆
柊-Kaisho	U+67ca	柊
U+67ca	柊
柎-Kaisho	U+67ce	柎
U+67ce	柎
柏-Kaisho	U+67cf	柏
U+67cf	柏
某-Kaisho	U+67d0	某
U+67d0	某
柑-Kaisho	U+67d1	柑
U+67d1	柑
染-Kaisho	U+67d3	染
U+67d3	染
柔-Kaisho	U+67d4	柔
U+67d4	柔
柘-Kaisho	U+67d8	柘
U+67d8	柘
柚-Kaisho	U+67da	柚
柚-KaishoVtLst	U+67da	柚
U+67da	柚
柝-Kaisho	U+67dd	柝
U+67dd	柝
柞-Kaisho	U+67de	柞
U+67de	柞
柢-Kaisho	U+67e2	柢
U+67e2	柢
柤-Kaisho	U+67e4	柤
U+67e4	柤
柧-Kaisho	U+67e7	柧
U+67e7	柧
柩-Kaisho	U+67e9	柩
U+67e9	柩
柬-Kaisho	U+67ec	柬
U+67ec	柬
柮-Kaisho	U+67ee	柮
U+67ee	柮
柯-Kaisho	U+67ef	柯
U+67ef	柯
柱-Kaisho	U+67f1	柱
柱-KaishoVtLst	U+67f1	柱
U+67f1	柱
柳-Kaisho	U+67f3	柳
U+67f3	柳
柴-KaishoHzFst	U+67f4	柴
柴-Kaisho	U+67f4	柴
U+67f4	柴
柵-Kaisho	U+67f5	柵
U+67f5	柵
査-Kaisho	U+67fb	査
U+67fb	査
柾-KaishoHzFst	U+67fe	柾
柾-Kaisho	U+67fe	柾
U+67fe	柾
柿-Kaisho	U+67ff	柿
U+67ff	柿
栂-Kaisho	U+6802	栂
U+6802	栂
栃-Kaisho	U+6803	栃
U+6803	栃
栄-Kaisho	U+6804	栄
U+6804	栄
栓-Kaisho	U+6813	栓
栓-KaishoVtLst	U+6813	栓
U+6813	栓
栖-Kaisho	U+6816	栖
U+6816	栖
栗-Kaisho	U+6817	栗
U+6817	栗
栞-Kaisho	U+681e	栞
U+681e	栞
校-Kaisho	U+6821	校
U+6821	校
栢-Kaisho	U+6822	栢
U+6822	栢
栩-Kaisho	U+6829	栩
U+6829	栩
株-Kaisho	U+682a	株
U+682a	株
栫-Kaisho	U+682b	栫
U+682b	栫
栲-Kaisho	U+6832	栲
U+6832	栲
栴-Kaisho	U+6834	栴
U+6834	栴
核-Kaisho	U+6838	核
U+6838	核
根-Kaisho	U+6839	根
U+6839	根
格-Kaisho	U+683c	格
U+683c	格
栽-Kaisho	U+683d	栽
U+683d	栽
桀-Hyougai	U+6840	桀
U+6840	桀
桁-Kaisho	U+6841	桁
U+6841	桁
桂-Kaisho	U+6842	桂
U+6842	桂
桃-KaishoMidFst	U+6843	桃
桃-Kaisho	U+6843	桃
U+6843	桃
框-Kaisho	U+6846	框
框-KaishoVtLst	U+6846	框
U+6846	框
案-Kaisho	U+6848	案
U+6848	案
桍-Kaisho	U+684d	桍
U+684d	桍
桎-Kaisho	U+684e	桎
桎-KaishoVtFst	U+684e	桎
U+684e	桎
桐-Kaisho	U+6850	桐
U+6850	桐
桑-Kaisho	U+6851	桑
U+6851	桑
桓-Kaisho	U+6853	桓
U+6853	桓
桔-Kaisho	U+6854	桔
U+6854	桔
桙-Kaisho	U+6859	桙
U+6859	桙
桜-Kaisho	U+685c	桜
U+685c	桜
桝-Hyougai	U+685d	桝
U+685d	桝
桟-Kaisho	U+685f	桟
U+685f	桟
档-Kaisho	U+6863	档
U+6863	档
桧-Kaisho	U+6867	桧
U+6867	桧
桴-Kaisho	U+6874	桴
U+6874	桴
桶-Kaisho	U+6876	桶
U+6876	桶
桷-Kaisho	U+6877	桷
U+6877	桷
U+687c	桼
桾-Kaisho	U+687e	桾
U+687e	桾
桿-Kaisho	U+687f	桿
U+687f	桿
梁-Kaisho	U+6881	梁
U+6881	梁
梃-Kaisho	U+6883	梃
U+6883	梃
梅-Kaisho	U+6885	梅
U+6885	梅
梍-Kaisho	U+688d	梍
U+688d	梍
梏-Kaisho	U+688f	梏
U+688f	梏
梓-Kaisho	U+6893	梓
U+6893	梓
梔-Kaisho	U+6894	梔
U+6894	梔
梗-JinmeiKaisho	U+6897	梗
梗-Jinmei	U+6897	梗
梗-Kaisho	U+6897	梗
U+6897	梗
梛-Jinmei	U+689b	梛
梛-Kaisho	U+689b	梛
U+689b	梛
條-Kaisho	U+689d	條
U+689d	條
梟-Kaisho	U+689f	梟
U+689f	梟
梠-Kaisho	U+68a0	梠
U+68a0	梠
梢-Kaisho	U+68a2	梢
U+68a2	梢
U+68a6	梦
梧-Kaisho	U+68a7	梧
U+68a7	梧
梨-Kaisho	U+68a8	梨
U+68a8	梨
梭-Kaisho	U+68ad	梭
U+68ad	梭
梯-Kaisho	U+68af	梯
U+68af	梯
械-Kaisho	U+68b0	械
U+68b0	械
梱-Kaisho	U+68b1	梱
U+68b1	梱
梳-Kaisho	U+68b3	梳
U+68b3	梳
U+68b5	梵
梶-Kaisho	U+68b6	梶
U+68b6	梶
梹-Kaisho	U+68b9	梹
U+68b9	梹
U+68ba	梺
梼-Kaisho	U+68bc	梼
U+68bc	梼
棄-Kaisho	U+68c4	棄
U+68c4	棄
棆-Kaisho	U+68c6	棆
U+68c6	棆
棉-Kaisho	U+68c9	棉
U+68c9	棉
棊-Kaisho	U+68ca	棊
U+68ca	棊
棋-Kaisho	U+68cb	棋
U+68cb	棋
棍-Kaisho	U+68cd	棍
U+68cd	棍
棒-Kaisho	U+68d2	棒
U+68d2	棒
棔-Kaisho	U+68d4	棔
U+68d4	棔
棕-Kaisho	U+68d5	棕
U+68d5	棕
棗-Kaisho	U+68d7	棗
U+68d7	棗
棘-HyougaiKaisho	U+68d8	棘
棘-Hyougai	U+68d8	棘
U+68d8	棘
棚-Kaisho	U+68da	棚
U+68da	棚
棟-Kaisho	U+68df	棟
U+68df	棟
棠-Kaisho	U+68e0	棠
U+68e0	棠
棡-Kaisho	U+68e1	棡
U+68e1	棡
棣-Kaisho	U+68e3	棣
U+68e3	棣
棧-Kaisho	U+68e7	棧
U+68e7	棧
森-Kaisho	U+68ee	森
U+68ee	森
棯-Kaisho	U+68ef	棯
U+68ef	棯
棲-Kaisho	U+68f2	棲
棲-KaishoVtLst	U+68f2	棲
U+68f2	棲
棹-KaishoHzFst	U+68f9	棹
棹-Kaisho	U+68f9	棹
U+68f9	棹
棺-Kaisho	U+68fa	棺
